student_id,item_id,skill_id,difficulty,time_spent_ms,attempts,used_hint,n_hints,fast_response,correct,tab_blur_count,idle_ms,erratic_clicks,error_type,will_mistake_next,focus_score,consecutive_errors,excessive_time
1,1,14,2,2381,1,0,0,0,0,0,0,0,conceptual,0,0.54,1,0
1,2,18,4,3696,1,0,0,0,1,0,0,0,procedimiento,0,0.63,0,0
1,3,4,2,2613,3,0,0,0,0,0,0,0,inatencion,0,0.52,1,0
1,4,8,4,3351,2,0,0,0,0,0,0,2,procedimiento,1,0.42,2,0
1,5,13,2,1602,1,0,0,1,1,0,0,0,procedimiento,0,0.61,0,0
1,6,18,2,1906,1,0,0,1,0,0,0,0,aleatorio,0,0.5,1,0
1,7,9,4,3933,2,0,0,0,0,1,0,1,conceptual,1,0.4,2,0
1,8,13,3,2369,1,0,0,0,1,2,0,0,procedimiento,0,0.59,0,0
1,9,7,4,3157,1,1,1,0,0,3,0,0,conceptual,0,0.48,1,0
1,10,5,2,2049,1,0,0,0,1,0,0,0,procedimiento,0,0.58,0,0
1,11,8,2,1738,1,0,0,1,1,0,0,0,procedimiento,0,0.57,0,0
1,12,15,2,2601,1,0,0,0,1,2,0,0,procedimiento,0,0.57,0,0
1,13,11,3,3278,1,1,2,0,1,1,0,0,procedimiento,0,0.56,0,0
1,14,14,1,1211,1,0,0,1,1,1,0,0,procedimiento,0,0.55,0,0
1,15,3,4,3618,1,1,0,0,1,0,0,0,procedimiento,0,0.55,0,0
1,16,12,4,3817,1,0,0,0,1,3,0,0,procedimiento,0,0.54,0,0
1,17,10,2,1901,1,0,0,1,1,2,0,0,procedimiento,0,0.53,0,0
1,18,13,1,1188,1,0,0,1,1,0,0,0,procedimiento,0,0.53,0,0
1,19,9,3,3364,1,0,0,0,1,3,0,0,procedimiento,0,0.52,0,0
1,20,14,4,3332,1,0,0,0,1,1,0,0,procedimiento,0,0.52,0,0
1,21,15,2,1679,1,0,0,1,1,3,0,0,procedimiento,0,0.51,0,0
1,22,5,3,2637,1,0,0,0,0,1,0,0,procedimiento,0,0.4,1,0
1,23,7,4,5680,2,0,0,0,0,2,517,1,consigna,1,0.3,2,0
1,24,6,2,2846,1,1,0,0,0,2,134,0,aleatorio,1,0.19,3,0
1,25,7,3,4577,3,1,0,0,0,2,515,0,inatencion,1,0.15,4,0
1,26,14,1,2032,1,0,0,0,1,3,2366,0,procedimiento,1,0.48,0,0
1,27,4,3,2705,1,0,0,0,1,0,219,0,procedimiento,1,0.47,0,0
1,28,17,2,2467,1,0,0,0,1,3,534,0,procedimiento,1,0.46,0,0
1,29,2,2,3097,1,1,1,0,0,0,944,0,procedimiento,1,0.36,1,0
1,30,18,4,5595,1,1,2,0,1,2,1281,0,procedimiento,1,0.45,0,0
2,31,17,3,2237,1,0,0,0,0,0,0,0,inatencion,0,0.65,1,0
2,32,17,3,2660,1,0,0,0,1,0,0,0,procedimiento,0,0.74,0,0
2,33,13,4,3877,1,0,0,0,1,0,0,0,procedimiento,0,0.74,0,0
2,34,17,1,1566,1,0,0,1,0,0,0,0,inatencion,0,0.63,1,0
2,35,9,3,2658,1,1,1,0,1,0,0,0,procedimiento,0,0.72,0,0
2,36,4,3,2275,1,1,0,0,1,0,0,0,procedimiento,0,0.71,0,0
2,37,16,1,1473,1,0,0,1,1,0,0,0,procedimiento,0,0.71,0,0
2,38,18,2,2390,1,0,0,0,1,0,0,0,procedimiento,0,0.7,0,0
2,39,10,2,2199,1,0,0,0,0,0,0,0,conceptual,0,0.59,1,0
2,40,8,2,2170,1,0,0,0,1,0,0,0,procedimiento,0,0.68,0,0
2,41,10,1,1524,1,0,0,1,1,0,0,0,procedimiento,0,0.68,0,0
2,42,10,4,3253,1,1,0,0,1,0,0,0,procedimiento,0,0.67,0,0
2,43,18,3,2604,1,1,2,0,0,0,0,0,inatencion,0,0.56,1,0
2,44,12,1,1610,1,0,0,1,1,0,0,0,procedimiento,0,0.65,0,0
2,45,2,3,3131,1,1,0,0,0,0,0,0,inatencion,0,0.55,1,0
2,46,16,3,2124,3,0,0,0,0,0,0,1,conceptual,1,0.44,2,0
2,47,3,4,3029,1,0,0,0,0,0,0,0,inatencion,1,0.33,3,0
2,48,19,2,2270,1,0,0,0,1,0,0,0,procedimiento,0,0.62,0,0
2,49,11,2,2622,1,0,0,0,1,0,0,0,procedimiento,0,0.62,0,0
2,50,14,3,2732,1,0,0,0,1,0,0,0,procedimiento,0,0.61,0,0
2,51,11,4,4071,1,0,0,0,1,0,0,0,procedimiento,0,0.6,0,0
2,52,1,2,3456,2,0,0,0,0,2,0,0,inatencion,0,0.49,1,0
2,53,1,3,4749,1,0,0,0,0,0,0,1,procedimiento,1,0.39,2,0
2,54,15,2,2485,1,0,0,0,1,0,0,0,procedimiento,0,0.58,0,0
